MATRICULA,OBSERVACAO,RA,OS
868345,BAIXA DE MATRICULA APOS ATUALIZACAO CADASTRAL NO ROTEIRO.,5792610,4674283
1939335,BAIXA DE MATRICULA APOS ATUALIZACAO CADASTRAL NO ROTEIRO.,5792612,4674284
1939319,BAIXA DE MATRICULA APOS ATUALIZACAO CADASTRAL NO ROTEIRO.,5792613,4674285
868388,BAIXA DE MATRICULA APOS ATUALIZACAO CADASTRAL NO ROTEIRO.,5792614,4674286
2386216,BAIXA DE MATRICULA APOS ATUALIZACAO CADASTRAL NO ROTEIRO.,5792615,4674287
1415719,BAIXA DE MATRICULA APOS ATUALIZACAO CADASTRAL NO ROTEIRO.,5792616,4674288
1415727,BAIXA DE MATRICULA APOS ATUALIZACAO CADASTRAL NO ROTEIRO.,5792617,4674289
3523268,BAIXA DE MATRICULA APOS ATUALIZACAO CADASTRAL NO ROTEIRO.,5792618,4674290
1415778,BAIXA DE MATRICULA APOS ATUALIZACAO CADASTRAL NO ROTEIRO.,5792619,4674291
